2025-08-25,IBM,238.135825423892
2025-08-26,IBM,241.318528683118,0.013276550654861552
2025-08-27,IBM,243.516583121521,0.009067286771981209
2025-08-28,IBM,244.401772465493,0.00362843621275033
2025-08-29,IBM,242.173880184035,-0.00915749827808554
2025-09-02,IBM,240.194636594704,-0.00820640082490609
2025-09-03,IBM,242.780582992825,0.01070850430628667
2025-09-04,IBM,245.84393487983,0.012538838762675475
2025-09-05,IBM,247.186637817316,0.00544674643457288
2025-09-08,IBM,254.705774267237,0.029965382599783652
2025-09-09,IBM,257.709450468132,0.011723736764359671
2025-09-10,IBM,255.491504134359,-0.00864363217904529
2025-09-11,IBM,255.620801454265,0.0005059448628035312
2025-09-12,IBM,252.070098130691,-0.013987886018001383
2025-09-15,IBM,254.854963482513,0.010987396674838834
2025-09-16,IBM,256.128044786204,0.004982881689651997
2025-09-17,IBM,257.679612625076,0.006039507324161697
2025-09-18,IBM,263.567613654644,0.022592931671506555
2025-09-19,IBM,264.960046330556,0.005269112680013954
2025-09-22,IBM,269.903182330041,0.018484264673401363
2025-09-23,IBM,270.768479778643,0.0032008268530141493
2025-09-24,IBM,266.08393841897,-0.017452320612167505
2025-09-25,IBM,279.918751648917,0.05068757140876379
2025-09-26,IBM,282.773238634536,0.010145911160967636
2025-09-29,IBM,278.287616228564,-0.015990129918834306
2025-09-30,IBM,280.634859882243,0.00839922369641588
2025-10-01,IBM,284.941455229883,0.015229345603875899
2025-10-02,IBM,285.17021202664,0.0008024982548935355
2025-10-03,IBM,286.811293394678,0.0057382480221424
2025-10-06,IBM,287.855617901612,0.0036345425011390375
2025-10-07,IBM,292.281564621473,0.015258572369066137
2025-10-08,IBM,287.895401692352,-0.01512037446945591
2025-10-09,IBM,286.672050127087,-0.004258345682576881
2025-10-10,IBM,276.318318586918,-0.03678535055763721
2025-10-13,IBM,275.721561725813,-0.0021620071840375843
2025-10-14,IBM,274.65734532351,-0.003867218438007747
2025-10-15,IBM,279.232481258647,0.016520397271355236
2025-10-16,IBM,274.478318265178,-0.01717242946137798
2025-10-17,IBM,279.759616485956,0.019058450339636934
2025-10-20,IBM,282.11680608732,0.008390469275763479
2025-10-21,IBM,280.525454457707,-0.005656723586591639
2025-10-22,IBM,285.955941893761,0.01917328205521418
2025-10-23,IBM,283.459509024806,-0.008768461972548103
2025-10-24,IBM,305.798107525498,0.07585581721580326
2025-10-27,IBM,311.397676072198,0.01814569166011637
2025-10-28,IBM,310.880486792574,-0.0016622450523682275
2025-10-29,IBM,306.544053601879,-0.014047075269226106
2025-10-30,IBM,308.384053923619,0.005984458315240637
2025-10-31,IBM,305.748377787073,-0.008583465658477785
2025-11-03,IBM,303.082863807471,-0.008756222835516247
2025-11-04,IBM,299.223836105659,-0.012814336977862162
2025-11-05,IBM,305.111837135227,0.019486479473255436
2025-11-06,IBM,310.731297577298,0.01825015526324769
2025-11-07,IBM,304.723945175509,-0.019522274818313257
2025-11-10,IBM,309.13,0.014355631423512705
2025-11-11,IBM,313.72,0.014738967947078407
2025-11-12,IBM,314.98,0.004008276401968658
2025-11-13,IBM,304.86,-0.03265648991273906
2025-11-14,IBM,305.69,0.0027188617190878617
2025-11-17,IBM,297.17,-0.02826715093069243
2025-11-18,IBM,289.95,-0.024595871299641026
2025-11-19,IBM,288.53,-0.00490942764529656
2025-11-20,IBM,290.4,0.0064602162734876956
2025-11-21,IBM,297.44,0.023953241022493188
2025-11-24,IBM,304.12,0.022209836387101944
2025-11-25,IBM,304.48,0.0011830431876038716
2025-11-26,IBM,303.21,-0.0041797687931586225
2025-11-28,IBM,308.58,0.017555494260198756
2025-12-01,IBM,305.67,-0.009475040360576337
2025-12-02,IBM,301.78,-0.012807813568798565
2025-12-03,IBM,302.62,0.0027796179379198094
2025-12-04,IBM,307.99,0.017589421890600754
2025-12-05,IBM,307.94,-0.00016235611225301483
2025-12-08,IBM,309.18,0.004018672766415321
2025-12-09,IBM,310.48,0.004195855492462819
2025-12-10,IBM,312.67,0.007028834201446621
2025-12-11,IBM,310.74,-0.006191771598242468
2025-12-12,IBM,309.24,-0.004838875211580884
2025-12-15,IBM,308.66,-0.001877326979588645
2025-12-16,IBM,303.18,-0.017913658940813093
2025-12-17,IBM,303.32,0.00046166530086289015
2025-12-18,IBM,300.45,-0.009507003052798169
2025-12-19,IBM,300.98,0.0017624665786355465
2025-12-22,IBM,302.79,0.005995678560305251
2025-12-23,IBM,303.78,0.003264259290994609
2025-12-24,IBM,304.56,0.0025643568643696213
2025-12-26,IBM,305.09,0.0017387029722613079
2025-12-29,IBM,305.74,0.0021282525263845997
2025-12-30,IBM,302.05,-0.01214250098813796
2025-12-31,IBM,296.21,-0.019523904348623944
2026-01-02,IBM,291.5,-0.01602865644557916
2026-01-05,IBM,294.97,0.011833650462740763
2026-01-06,IBM,302.47,0.025108442745867876
2026-01-07,IBM,296.73,-0.01915946457929607
2026-01-08,IBM,302.72,0.01998565144365383
2026-01-09,IBM,304.22,0.004942838020084217
2026-01-12,IBM,312.18,0.02582882064666947
2026-01-13,IBM,303.16,-0.029319225586438513
2026-01-14,IBM,309.03,0.019177640619883363
2026-01-15,IBM,297.95,-0.03651267237072364
